QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
milliSeconds,Real,Real,Real,
29.0000000000, 0.0324910418,-0.0392551852, 0.00000E+000,
29.1666666667, 0.0469818200, 0.1057145718, 0.00000E+000,
29.3333333333, 5.66046E-004, 0.0114544006, 0.00000E+000,
29.5000000000, 0.0348684351, 0.0427153687, 0.00000E+000,
29.6666666667, 0.0307929037, 0.0053692503, 0.00000E+000,
29.8333333333, 0.0288683472,-0.0367495351, 0.00000E+000,
30.0000000000, 0.0065661339, 0.0816126040, 0.00000E+000,
30.1666666667, 0.0333967154, 0.0084714837, 0.00000E+000,
30.3333333333, 0.0387175480, 0.0404483520, 0.00000E+000,
30.5000000000, 0.0367929915, 0.0029829168, 0.00000E+000,
30.6666666667, 0.0139247322,-0.0367495351, 0.00000E+000,
30.8333333333, 0.0300004393, 0.1100099720, 0.00000E+000,
31.0000000000, 0.0324910418, 0.0502323191, 0.00000E+000,
31.1666666667, 0.0323778326, 0.0418801520, 0.00000E+000,
31.3333333333, 0.0144907782, 0.0133634673, 0.00000E+000,
31.5000000000, 0.0343023890,-0.0182554509, 0.00000E+000,
31.6666666667, 0.0367929915, 0.1332767231, 0.00000E+000,
31.8333333333, 0.0192455648, 0.0455789689, 0.00000E+000,
32.0000000000, 0.0345288074, 0.0213576844, 0.00000E+000,
32.1666666667, 0.0207172845, 0.0311416515, 0.00000E+000,
32.3333333333, 0.0456233095, 0.0194486176, 0.00000E+000,
32.5000000000, 0.0276230460, 0.1427027403, 0.00000E+000,
32.6666666667, 0.0152832426, 0.0607321863, 0.00000E+000,
32.8333333333, 0.0254720711, 0.0610901363, 0.00000E+000,
33.0000000000, 0.0269437907, 0.0096646505, 0.00000E+000,
33.1666666667, 0.0201512384, 0.0050113002, 0.00000E+000,
33.3333333333, 0.0084906904, 0.1129928888, 0.00000E+000,
33.5000000000, 0.0100756192, 0.0340052517, 0.00000E+000,
33.6666666667, 0.0234343054, 0.0806580706, 0.00000E+000,
33.8333333333, 0.0157360795,-0.0522607025, 0.00000E+000,
34.0000000000, 0.0168681715,-0.0344825183, 0.00000E+000,
34.1666666667, 0.0217361673, 0.1191973558, 0.00000E+000,
34.3333333333, 0.0199248200, 0.0068010503, 0.00000E+000,
34.5000000000, 0.0384911296, 0.0343632017, 0.00000E+000,
34.6666666667, 0.0160757071,-0.0288746347, 0.00000E+000,
34.8333333333, 0.0302268577,-0.0473687190, 0.00000E+000,
35.0000000000, 0.0464157739, 0.1012998549, 0.00000E+000,
35.1666666667, 0.0438119622, 0.0268462513, 0.00000E+000,
35.3333333333, 0.0242267698, 0.0202838343, 0.00000E+000,
35.5000000000, 0.0309061129,-0.0397324519, 0.00000E+000,
35.6666666667, 0.0463025647, 0.0304257515, 0.00000E+000,
35.8333333333, 0.0243399790, 0.1375721233, 0.00000E+000,
36.0000000000, 0.0190191464, 0.0300678015, 0.00000E+000,
36.1666666667, 0.0210569121, 0.0514254858, 0.00000E+000,
36.3333333333, 0.0473214476,-0.0286360014, 0.00000E+000,
36.5000000000, 0.0403024769, 0.0102612338, 0.00000E+000,
36.6666666667, 0.0136983138, 0.1095327053, 0.00000E+000,
36.8333333333, 0.0156228703, 0.0392551852, 0.00000E+000,
37.0000000000, 0.0396232217, 0.0641923698, 0.00000E+000,
37.1666666667, 0.0166417531, 0.0385392852, 0.00000E+000,
37.3333333333, 0.0163021255, 0.0165850175, 0.00000E+000,
37.5000000000, 0.0292079748,-0.0437892188, 0.00000E+000,
37.6666666667, 0.0420006150, 0.0822091873, 0.00000E+000,
37.8333333333, 0.0071321799, 0.0683684533, 0.00000E+000,
38.0000000000, 0.0230946778, 0.0360336351, 0.00000E+000,
38.1666666667, 0.0146039874, 0.0391358686, 0.00000E+000,
38.3333333333, 0.0301136485, 0.0344825183, 0.00000E+000,
38.5000000000, 0.0430194978, 0.0496357357, 0.00000E+000,
38.6666666667, 0.0152832426, 0.0472494023, 0.00000E+000,
38.8333333333, 0.0249060250, 0.0136021007, 0.00000E+000,
39.0000000000, 0.0464157739,-0.0455789689, 0.00000E+000,
39.1666666667, 0.0327174602, 0.1022543883, 0.00000E+000,
39.3333333333, 9.05674E-004, 0.0482039357, 0.00000E+000,
39.5000000000, 0.0232078870, 0.0490391524, 0.00000E+000,
39.6666666667, 0.0182266820, 0.0198065676, 0.00000E+000,
39.8333333333, 0.0289815564,-0.0431926354, 0.00000E+000,
40.0000000000, 0.0118869665, 0.0194486176, 0.00000E+000,
40.1666666667, 0.0414345689,-0.5642485441, 0.00000E+000,
40.3333333333, 0.0816238366,-0.2954280810, 0.00000E+000,
40.5000000000, 0.0533215354, 0.0898454544, 0.00000E+000,
40.6666666667, 0.0415477781,-0.0032215502, 0.00000E+000,
40.8333333333, 0.0375854560, 0.0700388867, 0.00000E+000,
41.0000000000, 0.0474346568, 0.0566754194, 0.00000E+000,
41.1666666667, 0.0418874057, 0.0381813352, 0.00000E+000,
41.3333333333, 0.0146039874,-0.0040567669, 0.00000E+000,
41.5000000000, 0.0369062007,-0.0839989374, 0.00000E+000,
41.6666666667, 0.0438119622, 0.0625219364, 0.00000E+000,
41.8333333333, 0.0326042510,-0.0110964505, 0.00000E+000,
42.0000000000, 0.0329438786, 0.0094260171, 0.00000E+000,
42.1666666667, 0.0189059372,-0.0149145841, 0.00000E+000,
42.3333333333, 0.0609065521,-0.0964078713, 0.00000E+000,
42.5000000000, 0.0344155982, 0.0733797536, 0.00000E+000,
42.6666666667,-0.0492460041,-0.0095453338, 0.00000E+000,
42.8333333333,-0.0140379414,-0.0325734516, 0.00000E+000,
43.0000000000, 0.0242267698,-0.0255337679, 0.00000E+000,
43.1666666667, 0.0254720711,-0.0720672702, 0.00000E+000,
43.3333333333, 7.92464E-004, 0.0504709525, 0.00000E+000,
